iter	Passed	Remaining
0	1	136
1	2	131
2	3	124
3	4	115
4	5	113
5	7	111
6	8	110
7	9	109
8	10	107
9	11	107
10	13	106
11	14	106
12	15	105
13	17	104
14	18	103
15	19	101
16	20	101
17	22	100
18	23	99
19	24	98
20	25	96
21	27	96
22	28	95
23	29	94
24	30	92
25	32	91
26	33	90
27	34	89
28	36	88
29	37	87
30	38	86
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	79
37	48	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	57	67
46	58	66
47	59	64
48	61	64
49	64	64
50	66	63
51	67	62
52	69	61
53	70	60
54	71	58
55	72	57
56	74	56
57	75	54
58	77	53
59	78	52
60	79	50
61	81	49
62	82	48
63	83	47
64	85	45
65	86	44
66	88	43
67	89	42
68	90	40
69	92	39
70	93	38
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	112	19
85	113	18
86	115	17
87	116	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	125	7
94	126	6
95	127	5
96	129	4
97	130	2
98	132	1
99	133	0
