iter	Passed	Remaining
0	165	164868
1	166	83125
2	168	55970
3	170	42496
4	172	34252
5	173	28744
6	174	24814
7	178	22184
8	185	20454
9	187	18537
10	188	16941
11	189	15611
12	190	14483
13	191	13517
14	193	12690
15	194	11959
16	198	11485
17	199	10905
18	201	10381
19	202	9913
20	203	9488
21	204	9099
22	205	8744
23	207	8428
24	217	8491
25	218	8202
26	220	7936
27	221	7686
28	222	7453
29	224	7247
30	228	7129
31	229	6939
32	230	6759
33	233	6630
34	234	6469
35	236	6345
36	248	6458
37	249	6318
38	250	6181
39	255	6141
40	261	6109
41	262	5988
42	264	5884
43	266	5780
44	335	7111
45	337	6998
46	342	6949
47	354	7034
48	356	6917
49	358	6810
50	360	6700
51	365	6666
52	370	6614
53	372	6517
54	373	6417
55	374	6321
56	388	6422
57	389	6331
58	391	6243
59	393	6164
60	403	6204
61	405	6131
62	407	6062
63	409	5988
64	411	5913
65	420	5956
66	422	5884
67	424	5814
68	426	5755
69	430	5720
70	470	6162
71	472	6090
72	475	6033
73	489	6119
74	490	6051
75	499	6069
76	512	6144
77	518	6129
78	528	6159
79	530	6101
80	532	6040
81	584	6543
82	585	6468
83	589	6431
84	592	6378
85	600	6386
86	604	6345
87	622	6452
88	635	6506
89	641	6481
90	642	6421
91	651	6431
92	653	6372
93	670	6461
94	672	6410
95	700	6593
96	701	6534
97	703	6477
98	705	6420
99	710	6393
100	712	6346
101	718	6325
102	720	6272
103	724	6238
104	726	6188
105	733	6188
106	735	6135
107	736	6082
108	740	6050
109	743	6014
110	745	5973
111	748	5937
112	750	5893
113	755	5874
114	815	6278
115	822	6267
116	824	6221
117	826	6174
118	828	6134
119	836	6132
120	839	6101
121	860	6190
122	861	6145
123	879	6212
124	881	6168
125	889	6170
126	891	6129
127	893	6086
128	895	6048
129	913	6112
130	924	6129
131	926	6089
132	928	6051
133	931	6021
134	934	5989
135	936	5948
136	938	5909
137	939	5868
138	940	5826
139	942	5787
140	943	5746
141	944	5704
142	949	5692
143	954	5673
144	955	5637
145	957	5599
146	958	5561
147	965	5557
148	966	5522
149	968	5486
150	970	5457
151	972	5422
152	973	5389
153	976	5365
154	979	5340
155	988	5350
156	994	5338
157	997	5314
158	999	5285
159	1001	5259
160	1005	5238
161	1009	5222
162	1012	5197
163	1018	5193
164	1034	5237
165	1036	5206
166	1041	5194
167	1043	5168
168	1092	5372
169	1112	5429
170	1114	5403
171	1150	5537
172	1151	5506
173	1161	5512
174	1163	5484
175	1167	5466
176	1224	5695
177	1226	5665
178	1228	5636
179	1308	5960
180	1316	5958
181	1319	5930
182	1355	6051
183	1358	6022
184	1359	5990
185	1367	5983
186	1373	5969
187	1376	5943
188	1380	5923
189	1383	5897
190	1469	6223
191	1472	6197
192	1484	6208
193	1487	6181
194	1490	6152
195	1514	6212
196	1516	6181
197	1519	6155
198	1526	6144
199	1533	6133
200	1537	6112
201	1543	6095
202	1628	6391
203	1630	6362
204	1638	6352
205	1641	6326
206	1643	6295
207	1645	6264
208	1653	6257
209	1656	6231
210	1661	6212
211	1664	6186
212	1678	6203
213	1684	6186
214	1796	6558
215	1801	6536
216	1804	6509
217	1819	6525
218	1822	6498
219	1824	6467
220	1825	6436
221	1830	6413
222	1834	6390
223	1836	6362
224	1847	6363
225	1859	6368
226	1862	6341
227	1878	6360
228	1893	6375
229	1908	6388
230	1911	6361
231	1912	6332
232	1918	6316
233	1921	6289
234	1923	6261
235	1944	6294
236	1947	6269
237	1951	6248
238	1953	6220
239	1959	6206
240	1967	6196
241	1970	6171
242	1973	6146
243	1984	6149
244	2001	6167
245	2004	6142
246	2006	6115
247	2007	6088
248	2011	6066
249	2016	6050
250	2021	6031
251	2023	6005
252	2027	5984
253	2032	5968
254	2033	5941
255	2035	5915
256	2037	5889
257	2093	6021
258	2097	6000
259	2105	5991
260	2110	5976
261	2113	5953
262	2149	6024
263	2158	6017
264	2161	5993
265	2162	5967
266	2164	5941
267	2166	5916
268	2169	5894
269	2175	5882
270	2177	5857
271	2179	5832
272	2180	5807
273	2182	5782
274	2183	5757
275	2185	5732
276	2191	5720
277	2198	5709
278	2200	5685
279	2205	5671
280	2207	5648
281	2209	5625
282	2270	5752
283	2272	5729
284	2274	5705
285	2275	5681
286	2278	5659
287	2286	5653
288	2289	5631
289	2291	5609
290	2301	5606
291	2302	5583
292	2307	5568
293	2309	5546
294	2312	5526
295	2314	5504
296	2316	5483
297	2319	5464
298	2324	5448
299	2325	5427
300	2327	5406
301	2329	5384
302	2331	5363
303	2335	5346
304	2336	5325
305	2338	5304
306	2361	5329
307	2365	5314
308	2409	5388
309	2435	5421
310	2437	5399
311	2441	5383
312	2443	5362
313	2446	5345
314	2448	5325
315	2455	5314
316	2467	5315
317	2484	5329
318	2490	5317
319	2502	5317
320	2513	5317
321	2515	5297
322	2517	5276
323	2519	5256
324	2529	5253
325	2536	5243
326	2538	5225
327	2541	5206
328	2542	5185
329	2544	5166
330	2553	5160
331	2555	5141
332	2557	5122
333	2558	5102
334	2560	5082
335	2562	5063
336	2575	5066
337	2576	5046
338	2578	5027
339	2589	5026
340	2598	5020
341	2603	5009
342	2607	4993
343	2610	4978
344	2616	4967
345	2618	4949
346	2620	4931
347	2625	4919
348	2627	4901
349	2629	4883
350	2630	4864
351	2632	4846
352	2635	4830
353	2639	4815
354	2640	4797
355	2644	4784
356	2646	4766
357	2648	4749
358	2656	4743
359	2666	4740
360	2667	4722
361	2669	4704
362	2677	4697
363	2678	4680
364	2680	4664
365	2682	4647
366	2687	4635
367	2695	4629
368	2697	4613
369	2700	4597
370	2702	4581
371	2703	4564
372	2713	4560
373	2732	4573
374	2734	4557
375	2742	4551
376	2744	4535
377	2747	4521
378	2761	4524
379	2763	4508
380	2765	4492
381	2767	4476
382	2771	4464
383	2778	4456
384	2857	4564
385	2859	4548
386	2862	4533
387	2864	4517
388	2865	4501
389	2869	4488
390	2880	4487
391	2882	4471
392	2884	4455
393	2887	4441
394	2895	4434
395	2896	4417
396	2898	4401
397	2900	4387
398	2904	4375
399	2962	4443
400	2969	4435
401	2972	4421
402	2975	4407
403	2977	4392
404	2979	4377
405	2985	4367
406	2986	4351
407	2989	4337
408	2992	4323
409	2994	4308
410	3000	4300
411	3005	4289
412	3053	4340
413	3055	4324
414	3057	4309
415	3058	4293
416	3060	4278
417	3066	4269
418	3071	4258
419	3072	4243
420	3074	4228
421	3076	4213
422	3085	4208
423	3087	4194
424	3111	4210
425	3113	4194
426	3117	4182
427	3119	4169
428	3127	4163
429	3129	4148
430	3136	4140
431	3140	4129
432	3142	4115
433	3145	4101
434	3146	4086
435	3149	4074
436	3156	4066
437	3158	4052
438	3160	4038
439	3161	4024
440	3178	4029
441	3182	4018
442	3197	4020
443	3200	4007
444	3202	3993
445	3205	3981
446	3206	3967
447	3209	3954
448	3218	3949
449	3221	3937
450	3222	3923
451	3224	3909
452	3226	3895
453	3229	3883
454	3234	3874
455	3236	3860
456	3237	3846
457	3239	3833
458	3240	3819
459	3241	3805
460	3244	3793
461	3246	3779
462	3248	3767
463	3252	3756
464	3253	3743
465	3255	3730
466	3256	3717
467	3262	3708
468	3271	3703
469	3272	3690
470	3276	3680
471	3278	3667
472	3283	3657
473	3284	3644
474	3285	3631
475	3287	3618
476	3291	3608
477	3293	3596
478	3294	3583
479	3296	3571
480	3300	3561
481	3302	3549
482	3310	3543
483	3312	3531
484	3316	3521
485	3317	3508
486	3318	3496
487	3323	3487
488	3325	3475
489	3327	3463
490	3331	3453
491	3334	3442
492	3339	3433
493	3340	3421
494	3345	3413
495	3348	3402
496	3349	3390
497	3354	3381
498	3356	3369
499	3358	3358
500	3360	3347
501	3362	3336
502	3365	3325
503	3369	3316
504	3371	3304
505	3372	3292
506	3374	3280
507	3378	3271
508	3391	3271
509	3393	3260
510	3396	3249
511	3401	3242
512	3403	3231
513	3406	3220
514	3409	3211
515	3411	3199
516	3420	3195
517	3422	3184
518	3423	3172
519	3425	3161
520	3426	3150
521	3428	3139
522	3435	3133
523	3437	3122
524	3440	3112
525	3441	3101
526	3450	3096
527	3451	3085
528	3453	3074
529	3454	3063
530	3455	3052
531	3457	3041
532	3461	3032
533	3462	3021
534	3470	3016
535	3472	3005
536	3474	2995
537	3476	2985
538	3478	2975
539	3484	2968
540	3486	2957
541	3487	2947
542	3493	2939
543	3494	2929
544	3497	2920
545	3499	2909
546	3500	2899
547	3502	2888
548	3503	2878
549	3507	2869
550	3508	2859
551	3510	2848
552	3512	2839
553	3516	2831
554	3520	2822
555	3522	2813
556	3524	2803
557	3525	2792
558	3531	2786
559	3535	2777
560	3537	2768
561	3538	2757
562	3539	2747
563	3541	2737
564	3542	2727
565	3543	2717
566	3545	2707
567	3551	2701
568	3553	2691
569	3554	2681
570	3555	2671
571	3557	2661
572	3558	2651
573	3559	2641
574	3561	2632
575	3566	2625
576	3568	2615
577	3569	2606
578	3571	2596
579	3572	2587
580	3573	2577
581	3575	2568
582	3582	2562
583	3583	2552
584	3585	2543
585	3586	2533
586	3587	2524
587	3588	2514
588	3590	2505
589	3591	2495
590	3598	2490
591	3599	2480
592	3601	2471
593	3602	2462
594	3604	2453
595	3605	2444
596	3607	2435
597	3616	2431
598	3617	2421
599	3619	2412
600	3620	2403
601	3621	2394
602	3622	2385
603	3630	2380
604	3632	2371
605	3634	2362
606	3635	2353
607	3636	2344
608	3638	2335
609	3642	2328
610	3646	2321
611	3648	2313
612	3650	2304
613	3651	2295
614	3652	2286
615	3653	2277
616	3658	2270
617	3662	2263
618	3663	2254
619	3664	2245
620	3665	2236
621	3666	2227
622	3667	2219
623	3668	2210
624	3670	2202
625	3671	2193
626	3672	2184
627	3673	2176
628	3677	2168
629	3680	2161
630	3681	2152
631	3682	2144
632	3683	2135
633	3685	2127
634	3688	2119
635	3689	2111
636	3690	2103
637	3693	2095
638	3695	2087
639	3696	2079
640	3702	2073
641	3704	2065
642	3705	2057
643	3708	2050
644	3711	2042
645	3713	2034
646	3715	2027
647	3716	2019
648	3718	2010
649	3719	2002
650	3720	1994
651	3722	1986
652	3729	1981
653	3734	1975
654	3736	1967
655	3737	1959
656	3738	1951
657	3739	1943
658	3742	1936
659	3743	1928
660	3744	1920
661	3746	1912
662	3747	1904
663	3748	1896
664	3749	1888
665	3750	1881
666	3751	1873
667	3752	1865
668	3753	1857
669	3754	1849
670	3756	1841
671	3759	1834
672	3761	1827
673	3762	1819
674	3763	1811
675	3764	1804
676	3765	1796
677	3766	1788
678	3767	1781
679	3768	1773
680	3771	1766
681	3772	1759
682	3774	1751
683	3776	1744
684	3777	1737
685	3778	1729
686	3780	1722
687	3781	1714
688	3782	1707
689	3784	1700
690	3791	1695
691	3792	1688
692	3794	1680
693	3795	1673
694	3796	1665
695	3797	1658
696	3798	1651
697	3799	1643
698	3800	1636
699	3801	1629
700	3804	1622
701	3805	1615
702	3807	1608
703	3808	1601
704	3809	1594
705	3810	1586
706	3811	1579
707	3812	1572
708	3815	1566
709	3820	1560
710	3821	1553
711	3822	1546
712	3824	1539
713	3825	1532
714	3826	1525
715	3827	1518
716	3828	1511
717	3834	1505
718	3835	1498
719	3836	1491
720	3837	1484
721	3838	1478
722	3839	1471
723	3840	1464
724	3841	1457
725	3842	1450
726	3844	1443
727	3846	1437
728	3847	1430
729	3850	1424
730	3852	1417
731	3853	1410
732	3854	1404
733	3855	1397
734	3856	1390
735	3857	1383
736	3858	1376
737	3861	1370
738	3864	1365
739	3865	1358
740	3866	1351
741	3867	1344
742	3868	1338
743	3869	1331
744	3871	1324
745	3872	1318
746	3873	1311
747	3875	1305
748	3876	1299
749	3877	1292
750	3883	1287
751	3885	1281
752	3886	1274
753	3887	1268
754	3889	1262
755	3891	1256
756	3893	1249
757	3894	1243
758	3895	1236
759	3898	1231
760	3900	1224
761	3901	1218
762	3902	1212
763	3905	1206
764	3907	1200
765	3908	1194
766	3909	1187
767	3913	1182
